time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p
50.25,0.2475182872542034,-0.10950974085615472,0.1498219825371254,6.6970250618792395,3.4210859919756587,7.530751287195851,7.0146563354656735,4.36930030005156,6.3793937882928065,2.4728716838997573,0.5032615055617872,17.546615107691515
50.5,0.2476669109855387,-0.109493724122907,0.1499118355550356,6.7426396248717335,3.471065157732313,7.568206782830132,7.024540586619709,4.430508667150958,6.460738663123756,2.511621648313668,0.5028088762561438,17.56056876165538
50.75,0.2478369910422565,-0.10948040167905063,0.14999246436494335,6.786357270704677,3.522754163759119,7.605684741718891,7.032110709700963,4.492086535663359,6.540603831708391,2.5534217918548796,0.502338545894597,17.574240111852756
51.0,0.24802957196675354,-0.10947012960309414,0.15006400004709577,6.8281146932786045,3.5760869720484387,7.643182857810126,7.03735575432109,4.553951061978023,6.618873632236119,2.598222882118854,0.5018129307808284,17.58757011844737
51.25,0.24824539529224754,-0.1094633486216574,0.15012678133617188,6.8678509131453644,3.63099536344751,7.6806988578219,7.040267798964251,4.616019432942523,6.695434027326478,2.6459712939524964,0.5012394010632085,17.600509775293478
51.5,0.2484856466936394,-0.10946028689922653,0.15018064345462118,6.90550734591912,3.6874089534033887,7.718230553155943,7.0408418658767244,4.678208916921679,6.770172825961517,2.6966089898850987,0.500603993360338,17.613176409597724
51.75,0.24875089024619193,-0.10946139069516185,0.15022593817146077,6.941027829413644,3.7452554069776256,7.755775714019599,7.039075969232348,4.74043707997914,6.842979689594939,2.750073733976112,0.49992288023470266,17.62543011317771
52.0,0.249041725713474,-0.10946702266294188,0.1502628522174112,6.974358712410636,3.8044603673216737,7.793332198562464,7.034970972978042,4.802621754006667,6.913746451843229,2.8062989806366803,0.4991937543826638,17.637302004028477
52.25,0.24935862903367131,-0.10947755219291147,0.15029161996765478,7.005448896687791,3.8649475649665237,7.830897911616817,7.0285305690414726,4.864681147678117,6.982367224334109,2.865213982254931,0.4984193079927608,17.648788330281413
52.5,0.24970199366613724,-0.1094932534438828,0.1503122776826612,7.03424989660135,3.9266388826150447,7.86847081660873,7.01976122092962,4.926533916244715,7.04873857227308,2.9267438489853745,0.497599130870888,17.659852398613562
52.75,0.25008656964178094,-0.10950848261195047,0.1503100650256879,7.06071587388477,3.989454431512942,7.906048886029396,7.008672144350244,4.988099238346752,7.1127596034192955,2.9908096246791325,0.4963045962898907,17.67306476351411
53.0,0.25048122248639154,-0.10954091428811716,0.15032691928079808,7.084802033803276,4.053316152483552,7.943626402285818,6.995277284239869,5.049300750364266,7.174326783366683,3.057331554602837,0.49596240714424095,17.68077292727342
53.25,0.25090242126350015,-0.10957721862104672,0.15033162328054936,7.106471232492102,4.118136668126894,7.981208132106017,6.979587683704412,5.110054288217919,7.233354781279792,3.1262190480358694,0.49500549242950576,17.690663491319985
53.5,0.2513505545925772,-0.10961838180529926,0.15032590713383315,7.125685278567463,4.183831187861816,8.018791037926155,6.961620957999757,5.170280831136452,7.2897495991351695,3.1973815445871803,0.4940132411526985,17.700132310791474
53.75,0.25182571308915547,-0.10966517411710475,0.1503110935591579,7.142409117483622,4.250313470423653,8.056372514709613,6.941397134448424,5.229902252860579,7.343421100518818,3.270724687986728,0.49298988472215627,17.709169551407665
54.0,0.25232711483453457,-0.10971871680398057,0.1502895078759356,7.156610814589073,4.317495884871277,8.093950288099403,6.918938635717533,5.288841310242939,7.394282993460614,3.346150459499615,0.49196452376805777,17.717796039573777
